方法,资料,预测内容,企业数,预测题数,平均绝对误差_cny,实际余额落在范围内比例,平均范围宽度占预测日余额比例,平均漏出范围扣分
GRU,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,119447.93292212843,0.9859154929577465,0.6377523669354127,0.6473860852397942
LSTM,每天余额收入支出,下一银行营业日的日末余额,142,142,39795.117263260916,0.9225352112676056,0.07205769469184166,0.10920488309535387
LSTM,每天余额收入支出,以后10个银行营业日的日均余额,142,142,90676.19766901564,0.9929577464788732,0.41376862359713973,0.41842704787826956
LSTM,每天余额收入支出,以后30个银行营业日的日均余额,142,142,122510.31178018702,0.9929577464788732,0.626422523139653,0.6358945963351528
LSTM,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,40149.0448228323,0.9154929577464789,0.07216800541333433,0.10886643921241039
LSTM,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,87769.58616700789,0.9929577464788732,0.41884999181824717,0.4236514839235926
LSTM,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,127557.99385172801,0.9929577464788732,0.5811765735248657,0.5899339375442071
LSTM,逐笔金额余额用途,下一银行营业日的日末余额,142,142,46779.396587353265,0.9154929577464789,0.07289697782844395,0.1100025330928132
LSTM,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,95451.47579669728,0.9929577464788732,0.41695252048632986,0.42177922236445115
LSTM,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,133578.85275300953,0.9929577464788732,0.608982571403856,0.6189807311434175
XGBoost,每天余额收入支出,下一银行营业日的日末余额,142,142,43350.46384301723,0.9929577464788732,0.24631020444527893,0.2581599686974626
XGBoost,每天余额收入支出,以后10个银行营业日的日均余额,142,142,85982.29113325333,0.9929577464788732,0.557034583178809,0.5630394607201212
XGBoost,每天余额收入支出,以后30个银行营业日的日均余额,142,142,135600.45123655125,0.9859154929577465,0.398381989633985,0.43530358770598504
XGBoost,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,44763.019798688954,0.9929577464788732,0.26261780970768084,0.27280356995263066
XGBoost,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,92763.19367487062,0.9929577464788732,0.5306809015489983,0.5349889020852828
XGBoost,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,123622.94095040543,0.9859154929577465,0.4294793581658293,0.44732701381206486
XGBoost,逐笔金额余额用途,下一银行营业日的日末余额,142,142,46351.162957316286,0.9788732394366197,0.267465176780748,0.27887106170418097
XGBoost,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,95458.80516264959,1.0,0.4354480004394641,0.4354480004394641
XGBoost,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,141318.14091821105,0.9859154929577465,0.4702667936979256,0.4762016824180317
余额保持法,每天余额收入支出,下一银行营业日的日末余额,142,142,39250.22795774649,0.9225352112676056,0.06849649705558332,0.10689558273172016
余额保持法,每天余额收入支出,以后10个银行营业日的日均余额,142,142,86262.22668309862,0.9929577464788732,0.4368823920035559,0.4417987544407886
余额保持法,每天余额收入支出,以后30个银行营业日的日均余额,142,142,118484.87348591552,0.9929577464788732,0.6625759250715403,0.6715836013014156
余额保持法,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,39250.22795774649,0.9225352112676056,0.06849649705558332,0.10689558273172016
余额保持法,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,86262.22668309862,0.9929577464788732,0.4368823920035559,0.4417987544407886
余额保持法,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,118484.87348591552,0.9929577464788732,0.6625759250715403,0.6715836013014156
余额保持法,逐笔金额余额用途,下一银行营业日的日末余额,142,142,39250.22795774649,0.9225352112676056,0.06849649705558332,0.10689558273172016
余额保持法,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,86262.22668309862,0.9929577464788732,0.4368823920035559,0.4417987544407886
余额保持法,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,118484.87348591552,0.9929577464788732,0.6625759250715403,0.6715836013014156
岭回归,每天余额收入支出,下一银行营业日的日末余额,142,142,54125.05294462457,0.9859154929577465,0.2568235651754939,0.27417243283723813
岭回归,每天余额收入支出,以后10个银行营业日的日均余额,142,142,107265.24948313291,0.9929577464788732,0.49580175678069216,0.5130006736862066
岭回归,每天余额收入支出,以后30个银行营业日的日均余额,142,142,141168.56349438106,0.9859154929577465,0.4981320034768878,0.5293273288363128
岭回归,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,349469.40213691484,1.0,1.5227937874630249,1.5227937874630249
岭回归,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,238900.29491216858,0.9929577464788732,0.9670006752842085,0.9736567651360671
岭回归,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,383921.3978271939,0.9859154929577465,1.258721493334634,1.2865132879814547
岭回归,逐笔金额余额用途,下一银行营业日的日末余额,142,142,102311.2232971209,1.0,1.6391238889651072,1.6391238889651072
岭回归,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,197517.03908908766,1.0,1.4420775416058491,1.4420775416058491
岭回归,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,258893.50276603005,1.0,0.9053488940443291,0.9053488940443291
直方图梯度提升树,每天余额收入支出,下一银行营业日的日末余额,142,142,46744.62282819709,0.9929577464788732,0.38197920831403237,0.388864484577441
直方图梯度提升树,每天余额收入支出,以后10个银行营业日的日均余额,142,142,103649.46074414364,0.9929577464788732,0.5691427602225376,0.5773261223276346
直方图梯度提升树,每天余额收入支出,以后30个银行营业日的日均余额,142,142,157364.14381134816,0.971830985915493,0.5044359101036342,0.5402541441705869
直方图梯度提升树,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,76270.09442735558,0.9929577464788732,0.28528563027935233,0.29270973908845094
直方图梯度提升树,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,104072.6430316349,0.9859154929577465,0.4378773595275511,0.44554920829699957
直方图梯度提升树,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,150958.0443245373,0.9788732394366197,0.4891499264358244,0.5099404948955526
直方图梯度提升树,逐笔金额余额用途,下一银行营业日的日末余额,142,142,53733.3270623159,0.9929577464788732,0.34345066245894884,0.35001888916762924
直方图梯度提升树,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,118660.13449395681,0.9929577464788732,0.5448118560642646,0.5450331864746997
直方图梯度提升树,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,196757.63544937668,0.9577464788732394,0.43904007737705636,0.46245160895871007
近期趋势延续法,每天余额收入支出,下一银行营业日的日末余额,142,142,51460.91079225348,0.971830985915493,0.16430684250005217,0.18694759698292604
近期趋势延续法,每天余额收入支出,以后10个银行营业日的日均余额,142,142,179044.65035739436,1.0,0.9325549231872277,0.9325549231872277
近期趋势延续法,每天余额收入支出,以后30个银行营业日的日均余额,142,142,464653.8157928404,1.0,1.5409863545521338,1.5409863545521338
近期趋势延续法,每天余额收入支出及用途,下一银行营业日的日末余额,142,142,51460.91079225348,0.971830985915493,0.16430684250005217,0.18694759698292604
近期趋势延续法,每天余额收入支出及用途,以后10个银行营业日的日均余额,142,142,179044.65035739436,1.0,0.9325549231872277,0.9325549231872277
近期趋势延续法,每天余额收入支出及用途,以后30个银行营业日的日均余额,142,142,464653.8157928404,1.0,1.5409863545521338,1.5409863545521338
近期趋势延续法,逐笔金额余额用途,下一银行营业日的日末余额,142,142,51460.91079225348,0.971830985915493,0.16430684250005217,0.18694759698292604
近期趋势延续法,逐笔金额余额用途,以后10个银行营业日的日均余额,142,142,179044.65035739436,1.0,0.9325549231872277,0.9325549231872277
近期趋势延续法,逐笔金额余额用途,以后30个银行营业日的日均余额,142,142,464653.8157928404,1.0,1.5409863545521338,1.5409863545521338
