方法,资料,企业编号,来源组,余额走势,预测日期,预测内容,实际余额_cny,预测余额_cny,预测下限_cny,预测上限_cny,绝对误差_cny,实际余额是否落在范围内,范围宽度占预测日余额比例,漏出范围扣分
余额保持法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1601252.51,1518558.3692052239,1683946.6507947762,357265.4203333333,0,0.10328682113325917,1.818014996882112
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4630884.994999999,4551883.095690666,4709886.894309333,72246.44499999937,1,0.03464033152268658,0.03464033152268658
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4944166.2875,4579361.214042646,5308971.360957353,191680.9854999995,1,0.15995778324569737,0.15995778324569737
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,5640346.937499999,4770256.17230528,6510437.702694718,933518.2164999992,0,0.38151275886619457,0.5205694119379771
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4439577.142499999,4362453.669899208,4516700.615100791,155283.40750000067,0,0.03464033152268643,0.21016964610080108
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4380012.318749999,4023881.208822441,4736143.428677557,341462.21325000096,1,0.15995778324569732,0.15995778324569732
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4247646.043749996,3398243.410694957,5097048.676805036,329454.2682500044,1,0.3815127588661943,0.3815127588661943
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4068873.9475000002,3997701.5409634383,4140046.354036562,40348.07249999978,1,0.03464033152268658,0.03464033152268658
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,3887307.621250001,3558656.5986581976,4215958.643841804,566894.0657499991,0,0.15995778324569732,0.7397343005490771
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,3483826.8962500016,2699966.5814280435,4267687.21107196,893581.342416665,0,0.38151275886619435,0.6485244390837237
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4717805.0175,4636795.03410685,4798815.00089315,40599.0075000003,1,0.03464033152268629,0.03464033152268629
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4900500.55125,4526422.798678474,5274578.303821526,79483.3827500008,1,0.15995778324569715,0.15995778324569715
近期趋势延续法,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,5306490.626249997,4414283.741919674,6198697.51058032,228242.77491666377,1,0.38151275886619457,0.38151275886619457
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1645914.9274999998,1618084.6357442865,1673745.219255713,39100.52749999985,0,0.034640331522686495,0.10478057761636453
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1821867.3012499996,1693356.066494367,1950378.536005632,291805.7392499994,0,0.15995778324569718,1.1762201748098189
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,2212872.5762499995,1906362.478885035,2519382.673614964,618106.2639166662,0,0.38151275886619446,2.32072967496865
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1212799.0299999998,1191225.556501895,1234372.5034981046,30657.760000000242,0,0.03464033152268636,0.10757311541128117
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1065331.0599999998,965711.7767547846,1164950.343245215,290019.5520000004,0,0.15995778324569732,1.6885777415138308
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,737624.4599999993,500024.0956039941,975224.8243960044,746232.8096666674,0,0.3815127588661943,4.465045373333252
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1861456.3875000002,1830234.4622705139,1892678.3127294865,56335.83750000014,0,0.03464033152268654,0.17395817314967738
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,2126155.69125,1981982.9963350927,2270328.3861649074,355590.5012500002,0,0.15995778324569715,1.3327847065403382
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,2714376.36625,2370512.369924957,3058240.362575043,988823.7949166666,0,0.38151275886619423,3.959386493077709
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1597676.52,1569942.5611010331,1625410.478898967,1529.6499999999069,1,0.034640331522686446,0.034640331522686446
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1581584.565,1453518.1640418957,1709650.9659581042,98805.19999999995,1,0.1599577832456972,0.1599577832456972
近期趋势延续法,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1545824.6650000003,1240375.533634241,1851273.7963657596,412693.26533333305,0,0.38151275886619446,1.0512643020976473
岭回归,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4475421.54848613,4299820.765697604,4651022.331274657,83217.0015138695,1,0.0769964948262856,0.0769964948262856
岭回归,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4859737.005264538,4553443.1459817095,5166030.864547367,107251.7032645382,1,0.13430209807204985,0.13430209807204985
岭回归,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4860482.0976618305,4420466.345526256,5300497.849797405,153653.37666183058,1,0.19293576056316214,0.19293576056316214
岭回归,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4442313.795374263,4270888.269172153,4613739.321576373,152546.75462573674,1,0.07699649482628583,0.07699649482628583
岭回归,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4507524.772585838,4208513.656768281,4806535.888403395,213949.75941416156,1,0.1343020980720499,0.1343020980720499
岭回归,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4518083.51105482,4088530.0053742845,4947637.016735356,59016.80094518047,1,0.19293576056316228,0.19293576056316228
岭回归,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4271317.336499026,4113119.4904975314,4429515.182500521,162095.31649902603,0,0.07699649482628572,0.08648118676690603
岭回归,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,3400323.3345143404,3124384.7651494066,3676261.903879274,1053878.3524856595,0,0.13430209807205004,2.0274579785146596
岭回归,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,2027706.2977825077,1631298.3599067107,2424114.2356583048,2349701.940884159,0,0.19293576056316228,4.946375690315027
岭回归,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4581653.946099782,4401589.711924564,4761718.180275001,95552.06390021741,1,0.07699649482628552,0.07699649482628552
岭回归,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4989187.982664496,4675108.692535395,5303267.272793597,9204.048664495349,1,0.13430209807205004,0.13430209807205004
岭回归,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,5276078.893849136,4824878.744424164,5727279.043274108,197831.04251580313,1,0.1929357605631624,0.1929357605631624
岭回归,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1557742.2906133037,1495882.752295103,1619601.8289315044,49072.10938669625,1,0.07699649482628577,0.07699649482628577
岭回归,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1657389.760606883,1549490.488040692,1765289.0331730742,127328.19860688294,0,0.1343020980720501,0.2552179054029515
岭回归,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1675064.1817470645,1520058.2025731439,1830070.160920985,80297.86941373115,1,0.19293576056316222,0.19293576056316222
岭回归,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1277252.980647045,1229300.7305511134,1325205.2307429765,33796.19064704492,1,0.07699649482628561,0.07699649482628561
岭回归,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,974654.3846616652,891013.0733306888,1058295.6959926416,380696.227338335,0,0.13430209807204996,2.519194074749474
岭回归,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,370696.27506670915,250538.80732942303,490853.74280399526,1113160.9945999575,0,0.19293576056316228,8.165219726967896
岭回归,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1754152.7149707472,1684754.4529239647,1823550.9770175298,50967.835029252805,1,0.0769964948262857,0.0769964948262857
岭回归,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1989921.4678471223,1868872.6822307808,2110970.253463464,219356.2778471224,0,0.13430209807204993,0.6796567001678365
岭回归,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,2049460.4980356707,1875564.1862624413,2223356.8098089,323907.92670233734,0,0.19293576056316222,1.0251157166682248
岭回归,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1586548.4274155167,1524903.0121146208,1648193.8427164126,12657.742584483232,1,0.07699649482628561,0.07699649482628561
岭回归,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1578500.899384957,1470975.113566889,1686026.6852030251,101888.86561504286,1,0.13430209807204996,0.13430209807204996
岭回归,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1631936.6835430562,1477467.248107795,1786406.1189783176,326581.2467902771,0,0.19293576056316233,1.2677931630038037
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4573531.304807941,4506019.69482588,4641042.914790003,14892.754807941616,1,0.029602130731718086,0.029602130731718086
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4659427.322707595,4544019.514213049,4774835.131202142,93057.97929240484,1,0.050603400443633526,0.050603400443633526
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4606100.423880386,4415374.5369907925,4796826.31076998,100728.29711961374,1,0.0836284698162112,0.0836284698162112
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4464786.534993441,4398880.147321674,4530692.922665208,130074.01500655897,0,0.029602130731717895,0.17370792686249156
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4721474.532,4548640.204853482,4435976.445701364,4661303.964005599,172834.32714651804,0,0.05060340044363328,0.18573271665215926
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4577100.312000001,4496581.2587200245,4310390.257739197,4682772.2597008515,80519.05327997636,1,0.08362846981621108,0.08362846981621108
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4109222.02,4120270.9324613297,4059450.068740483,4181091.7961821766,11048.912461329717,1,0.02960213073171784,0.02960213073171784
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4454201.687,4197654.215132657,4093683.9114377294,4301624.5188275855,256547.47186734248,0,0.0506034004436334,0.4219076702781809
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t09,F-SHAPE-A1-L-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,4377408.238666667,4149612.285054455,3977788.310220615,4321436.259888295,227795.95361221163,0,0.08362846981621112,0.21983911627422748
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4677206.01,4689782.122830257,4620554.490946659,4759009.754713855,12576.112830257043,1,0.029602130731717732,0.029602130731717732
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,4979983.934,4777861.460724942,4659520.196384243,4896202.725065642,202122.47327505797,0,0.05060340044363351,0.2297300173923668
XGBoost,每天余额收入支出,business_102_a1_l_abundant_t10,F-SHAPE-A1-L-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,5078247.851333333,4723179.089463394,4527605.2986476505,4918752.880279138,355068.76186993904,0,0.08362846981621133,0.4246332720703576
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1606814.4,1611134.816750615,1587352.2517854115,1634917.3817158183,4320.416750614997,1,0.02960213073171787,0.02960213073171787
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1530061.5620000002,1641393.7252034515,1600738.5889425531,1682048.8614643498,111332.16320345132,0,0.05060340044363346,0.49046146334469415
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t07,F-SHAPE-A1-S-07,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1594766.3123333333,1622608.0609882458,1555420.346212919,1689795.7757635724,27841.74865491246,1,0.0836284698162111,0.0836284698162111
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1243456.79,1248918.788783739,1230483.0303843163,1267354.5471831618,5461.998783739051,1,0.029602130731718024,0.029602130731718024
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1355350.6120000002,1272374.876320257,1240859.845418496,1303889.907222018,82975.73567974311,0,0.05060340044363319,0.46375334453052
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t08,F-SHAPE-A1-S-08,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1483857.2696666666,1257812.6132779433,1205730.0696658671,1309895.1568900195,226044.6563887233,0,0.0836284698162111,1.4802754352433087
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1805120.55,1807481.259081055,1780800.3506799943,1834162.1674821156,2360.709081054898,1,0.029602130731717805,0.029602130731717805
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1770565.19,1841427.7726689472,1795818.059494749,1887037.4858431455,70862.58266894729,0,0.050603400443633276,0.19069209849276947
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t09,F-SHAPE-A1-S-09,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1725552.5713333334,1820352.729379364,1744976.954469471,1895728.504289257,94800.15804603067,0,0.08362846981621103,0.1913840080339546
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,1599206.17,1605557.9718916586,1581857.7288239028,1629258.2149594144,6351.801891658688,1,0.029602130731718048,0.029602130731718048
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后10个银行营业日的日均余额,1680389.765,1635712.1409792425,1595197.729991791,1676226.551966694,44677.62402075739,0,0.05060340044363326,0.07660312882692208
XGBoost,每天余额收入支出,business_102_a1_s_abundant_t10,F-SHAPE-A1-S-10,长期U型/后段反弹,2025-05-12,以后30个银行营业日的日均余额,1958517.9303333333,1616991.5021944426,1550036.353594109,1683946.6507947762,341526.42813889077,0,0.08362846981621107,1.798356645565064
ExtraTrees,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,下一银行营业日的日末余额,4558638.55,4573221.5717791645,4510892.038890827,4635551.1046675015,14583.021779164672,1,0.027329921201667995,0.027329921201667995
ExtraTrees,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后10个银行营业日的日均余额,4752485.302,4587088.61581103,4367575.587180996,4806601.644441064,165396.68618896976,1,0.09625090221590434,0.09625090221590434
ExtraTrees,每天余额收入支出,business_102_a1_l_abundant_t07,F-SHAPE-A1-L-07,长期上升,2025-05-12,以后30个银行营业日的日均余额,4706828.721,4473926.374434626,4210690.278530497,4737162.470338754,232902.34656537417,1,0.1154223595960996,0.1154223595960996
ExtraTrees,每天余额收入支出,business_102_a1_l_abundant_t08,F-SHAPE-A1-L-08,长期U型/后段反弹,2025-05-12,下一银行营业日的日末余额,4594860.55,4465771.296609243,4404923.771879342,4526618.821339144,129089.25339075644,0,0.02732992120166795,0.1805852159113217
