sample_id,family_id,v3_role,original_family_id
business_102_b1_m_tight_t02,F-REM57V3-B1M-02,学习,
business_102_b1_m_tight_t03,F-TM6-B1-03,开发测试,
business_102_b1_m_tight_t04,F-TM6-B1-04,开发测试,
business_102_b1_s_abundant_t01,F-EMPTY6-B1-01,学习,
business_102_b1_s_abundant_t02,F-EMPTY6-B1-02,学习,
business_102_b1_s_abundant_t03,F-EXP03-B1-小-03,学习,
business_102_b1_s_abundant_t07,F-B1S-ABUNDANT-07,学习,
business_102_b1_s_abundant_t08,F-B1S-ABUNDANT-08,学习,
business_102_b1_s_abundant_t09,F-B1S-ABUNDANT-09,学习,
business_102_b1_s_abundant_t10,F-B1S-ABUNDANT-10,学习,
business_102_b1_s_abundant_t11,F-B1S-ABUNDANT-11,学习,
business_102_b1_s_abundant_t12,F-B1S-ABUNDANT-12,学习,
business_102_b1_s_tight_t01,F-REM57V3-B1S-01,学习,
business_102_b1_s_tight_t02,F-REM57V3-B1S-02,学习,
business_102_b2_l_abundant_t01,F-REM57V3-B2L-01,学习,
business_102_b2_l_abundant_t02,F-REM57V3-B2L-02,学习,
business_102_b2_l_abundant_t03,F-EXP03-B2-大-03,学习,
business_102_b2_l_abundant_t04,F-EXP03-B2-大-04,学习,
business_102_b2_l_abundant_t05,F-EXP03-B2-大-05,学习,
business_102_b2_l_abundant_t06,F-EXP03-B2-大-06,学习,
business_102_b2_m_abundant_t01,F-EMPTY1-B2-01,学习,
business_102_b2_m_abundant_t02,F-EMPTY1-B2-02,学习,
business_102_b2_m_abundant_t03,F-EXP01-B2-03,学习,
business_102_b2_m_abundant_t04,F-EXP01-B2-04,学习,
business_102_b2_m_abundant_t05,F-EXP01-B2-05,学习,
business_102_b2_m_abundant_t06,F-EXP01-B2-06,学习,
business_102_b2_s_abundant_t01,F-EMPTY4-B2-01,学习,
business_102_b2_s_abundant_t02,F-EMPTY4-B2-02,学习,
business_102_b2_s_abundant_t03,F-EXP03-B2-小-03,学习,
business_102_b2_s_abundant_t04,F-EXP03-B2-小-04,学习,
business_102_b2_s_abundant_t05,F-EXP03-B2-小-05,学习,
business_102_b2_s_abundant_t06,F-EXP03-B2-小-06,学习,
business_102_b2_s_tight_t01,F-REM57V3-B2S-01,学习,
business_102_b2_s_tight_t02,F-REM57V3-B2S-02,学习,
business_102_b3_l_abundant_t01,F-EMPTY7-B3-01,学习,
business_102_b3_l_abundant_t02,F-EMPTY7-B3-02,学习,
business_102_b3_l_abundant_t03,F-EXP05-B3_L_ABUNDANT-T03,学习,
business_102_b3_l_abundant_t04,F-EXP05-B3_L_ABUNDANT-T04,学习,
business_102_b3_l_abundant_t05,F-EXP05-B3_L_ABUNDANT-T05,学习,
business_102_b3_l_abundant_t06,F-EXP05-B3_L_ABUNDANT-T06,学习,
business_102_b3_l_tight_t01,F-REM57V3-B3L-01,学习,
business_102_b3_l_tight_t02,F-REM57V3-B3L-02,学习,
business_102_b3_m_abundant_t01,F-REM57V3-B3M-01,学习,
business_102_b3_m_abundant_t02,F-REM57V3-B3M-02,学习,
business_102_b3_m_abundant_t03,F-EXP05-B3_M_ABUNDANT-T03,学习,
business_102_b3_m_abundant_t04,F-EXP05-B3_M_ABUNDANT-T04,学习,
business_102_b3_m_abundant_t05,F-EXP05-B3_M_ABUNDANT-T05,学习,
business_102_b3_m_abundant_t06,F-EXP05-B3_M_ABUNDANT-T06,学习,
business_102_b3_m_tight_t03,F-B3-BUDGET2-3-充电设施防护罩,学习,
business_102_b3_s_abundant_t01,F-EMPTY5-B3-01,学习,
business_102_b3_s_abundant_t02,F-EMPTY5-B3-02,学习,
business_102_b3_s_abundant_t03,F-EXP05-B3_S_ABUNDANT-T03,学习,
business_102_b3_s_abundant_t04,F-EXP05-B3_S_ABUNDANT-T04,学习,
business_102_b3_s_abundant_t05,F-EXP05-B3_S_ABUNDANT-T05,学习,
business_102_b3_s_abundant_t06,F-EXP05-B3_S_ABUNDANT-T06,学习,
business_102_b3_s_tight_t01,F-REM57V3-B3S-01,学习,
business_102_b3_s_tight_t02,F-REM57V3-B3S-02,学习,
business_102_c1_l_abundant_t01,F-EMPTY4-C1-01,学习,
business_102_c1_l_abundant_t02,F-EMPTY4-C1-02,学习,
business_102_c1_l_abundant_t03,F-EXP04-C1_L_ABUNDANT-T03,学习,
business_102_c1_l_abundant_t04,F-EXP04-C1_L_ABUNDANT-T04,学习,
business_102_c1_l_abundant_t05,F-EXP04-C1_L_ABUNDANT-T05,学习,
business_102_c1_l_abundant_t06,F-EXP04-C1_L_ABUNDANT-T06,学习,
business_102_c1_l_tight_t01,F-REM57V3-C1L-01,学习,
business_102_c1_l_tight_t02,F-REM57V3-C1L-02,学习,
business_102_c1_m_abundant_t01,F-EMPTY1-C1-01,学习,
business_102_c1_m_abundant_t02,F-EMPTY1-C1-02,学习,
business_102_c1_m_abundant_t03,F-EXP01-C1-03,学习,
business_102_c1_m_abundant_t04,F-EXP01-C1-04,学习,
business_102_c1_m_abundant_t05,F-EXP01-C1-05,学习,
business_102_c1_m_abundant_t06,F-EXP01-C1-06,学习,
business_102_c1_s_abundant_t01,F-REM57V3-C1S-01,学习,
business_102_c1_s_abundant_t02,F-REM57V3-C1S-02,学习,
business_102_c1_s_abundant_t03,F-EXP04-C1_S_ABUNDANT-T03,学习,
business_102_c1_s_abundant_t04,F-EXP04-C1_S_ABUNDANT-T04,学习,
business_102_c1_s_abundant_t05,F-EXP04-C1_S_ABUNDANT-T05,学习,
business_102_c1_s_abundant_t06,F-EXP04-C1_S_ABUNDANT-T06,学习,
business_102_c1_s_tight_t01,F-EMPTY7-C1-01,学习,
business_102_c1_s_tight_t02,F-EMPTY7-C1-02,学习,
business_102_c2_l_abundant_t01,F-REM57V3-C2L-01,学习,
business_102_c2_l_abundant_t02,F-REM57V3-C2L-02,学习,
business_102_c2_l_abundant_t04,F-EXP04-C2_L_ABUNDANT-T04,学习,
business_102_c2_l_abundant_t05,F-EXP04-C2_L_ABUNDANT-T05,学习,
business_102_c2_l_abundant_t06,F-EXP04-C2_L_ABUNDANT-T06,学习,
business_102_c2_l_tight_t01,F-EMPTY4-C2-01,学习,
business_102_c2_m_abundant_t01,F-EMPTY1-C2-01,学习,
business_102_c2_m_abundant_t02,F-EMPTY1-C2-02,学习,
business_102_c2_m_abundant_t03,F-EXP01-C2-03,学习,
business_102_c2_m_abundant_t04,F-EXP01-C2-04,学习,
business_102_c2_m_abundant_t05,F-EXP01-C2-05,学习,
business_102_c2_m_abundant_t06,F-EXP01-C2-06,学习,
business_102_c2_m_tight_t03,F-GAP13-07,学习,
business_102_c2_s_abundant_t01,F-EMPTY7-C2-01,学习,
business_102_c2_s_abundant_t02,F-EMPTY7-C2-02,学习,
business_102_c2_s_abundant_t03,F-EXP04-C2_S_ABUNDANT-T03,学习,
business_102_c2_s_abundant_t04,F-EXP04-C2_S_ABUNDANT-T04,学习,
business_102_c2_s_abundant_t05,F-EXP04-C2_S_ABUNDANT-T05,学习,
business_102_c2_s_abundant_t06,F-EXP04-C2_S_ABUNDANT-T06,学习,
business_102_c2_s_tight_t01,F-REM57V3-C2S-01,学习,
business_102_c2_s_tight_t02,F-REM57V3-C2S-02,学习,
business_102_c3_l_abundant_t01,F-REM57V3-C3L-01,学习,
business_102_c3_l_abundant_t02,F-REM57V3-C3L-02,学习,
business_102_c3_l_tight_t01,F-EMPTY5-C3-01,学习,
business_102_c3_l_tight_t02,F-EMPTY5-C3-02,学习,
business_102_c3_m_abundant_t01,F-REM57V3-C3M-01,学习,
business_102_c3_m_abundant_t02,F-REM57V3-C3M-02,学习,
business_102_c3_m_tight_t01,F-C3-BUDGET2-1-商厨不锈钢托盘,学习,
business_102_c3_s_abundant_t01,F-EMPTY2-C3-01,学习,
business_102_c3_s_abundant_t02,F-EMPTY2-C3-02,学习,
business_102_c3_s_tight_t01,F-REM57V3-C3S-01,学习,
business_102_c3_s_tight_t02,F-REM57V3-C3S-02,学习,
business_102_c3_s_tight_t03,F-TM6-C3-03,开发测试,
business_102_c3_s_tight_t04,F-TM6-C3-04,开发测试,
business_102_c4_l_abundant_t01,F-EMPTY2-C4-01,学习,
business_102_c4_l_abundant_t02,F-EMPTY2-C4-02,学习,
business_102_c4_l_tight_t01,F-REM57V3-C4L-01,学习,
business_102_c4_l_tight_t02,F-REM57V3-C4L-02,学习,
business_102_c4_m_abundant_t01,F-REM57V3-C4M-01,学习,
business_102_c4_m_abundant_t02,F-REM57V3-C4M-02,学习,
business_102_c4_m_abundant_t03,F-GAP13-09,学习,
business_102_c4_m_tight_t03,F-C4-BUDGET2-3-消防管路卡箍,学习,
business_102_c4_m_tight_t04,F-C4-BUDGET2-4-商用洗涤机滚筒支件,学习,
business_102_c4_s_abundant_t01,F-EMPTY5-C4-01,学习,
business_102_c4_s_abundant_t02,F-EMPTY5-C4-02,学习,
business_102_c4_s_tight_t01,F-REM57V3-C4S-01,学习,
business_102_c4_s_tight_t02,F-REM57V3-C4S-02,学习,
business_102_d1_l_abundant_t01,F-REM57V2-D1-07,学习,
business_102_d1_l_abundant_t02,F-REM57V2-D1-08,学习,
business_102_d1_m_abundant_t01,F-REM57V2-D1-03,学习,
business_102_d1_m_abundant_t02,F-REM57V2-D1-04,学习,
business_102_d1_s_abundant_t01,F-REM57V2-D1-01,学习,
business_102_d1_s_abundant_t02,F-REM57V2-D1-02,学习,
business_102_d1_s_abundant_t07,F-SHAPE-D1-S-07,开发测试,
business_102_d1_s_abundant_t08,F-SHAPE-D1-S-08,开发测试,
business_102_d1_s_abundant_t09,F-SHAPE-D1-S-09,开发测试,
business_102_d1_s_abundant_t10,F-SHAPE-D1-S-10,开发测试,
business_102_d1_s_abundant_t11,F-SHAPE-D1-S-11,开发测试,
business_102_d1_s_abundant_t12,F-SHAPE-D1-S-12,开发测试,
business_102_d1_s_t03,F-EXP06-D1-S-03,学习,
business_102_d1_s_t04,F-EXP06-D1-S-04,学习,
business_102_d1_s_t05,F-EXP06-D1-S-05,学习,
business_102_d1_s_t06,F-EXP06-D1-S-06,学习,
business_102_d2_l_abundant_t01,F-REM57V2-D2-07,学习,
business_102_d2_l_abundant_t02,F-REM57V2-D2-08,学习,
business_102_d2_l_abundant_t03,F-EXP07-D2-L-03,学习,
business_102_d2_l_abundant_t04,F-EXP07-D2-L-04,学习,
business_102_d2_l_abundant_t05,F-EXP07-D2-L-05,学习,
business_102_d2_l_abundant_t06,F-EXP07-D2-L-06,学习,
business_102_d2_l_abundant_t07,F-EXP08-D2-L-07,学习,
business_102_d2_l_abundant_t08,F-EXP08-D2-L-08,学习,
business_102_d2_l_abundant_t09,F-EXP08-D2-L-09,学习,
business_102_d2_l_abundant_t10,F-EXP08-D2-L-10,学习,
business_102_d2_l_abundant_t11,F-EXP08-D2-L-11,学习,
business_102_d2_l_abundant_t12,F-EXP08-D2-L-12,学习,
business_102_d2_m_abundant_t01,F-REM57V2-D2-05,学习,
business_102_d2_m_abundant_t02,F-REM57V2-D2-06,学习,
business_102_d2_m_abundant_t07,F-SHAPE-D2-M-07,开发测试,
business_102_d2_m_abundant_t08,F-SHAPE-D2-M-08,开发测试,
business_102_d2_m_abundant_t09,F-SHAPE-D2-M-09,开发测试,
business_102_d2_m_abundant_t10,F-SHAPE-D2-M-10,开发测试,
business_102_d2_m_abundant_t11,F-SHAPE-D2-M-11,开发测试,
business_102_d2_m_abundant_t12,F-SHAPE-D2-M-12,开发测试,
business_102_d2_m_t03,F-EXP06-D2-M-03,学习,
business_102_d2_m_t04,F-EXP06-D2-M-04,学习,
business_102_d2_m_t05,F-EXP06-D2-M-05,学习,
business_102_d2_m_t06,F-EXP06-D2-M-06,学习,
business_102_d2_m_tight_t01,F-D2-BUDGET2-1-净水器安装套件,学习,
business_102_d2_m_tight_t03,F-GAP13-11,学习,
business_102_d2_s_abundant_t01,F-REM57V2-D2-01,学习,
business_102_d2_s_abundant_t02,F-REM57V2-D2-02,学习,
business_102_d2_s_tight_t01,F-REM57V2-D2-03,学习,
business_102_d3_l_abundant_t01,F-EMPTY6-D3-01,学习,
business_102_d3_l_abundant_t02,F-EMPTY6-D3-02,学习,
business_102_d3_l_abundant_t03,F-EXP05-D3_L_ABUNDANT-T03,学习,
business_102_d3_l_abundant_t04,F-EXP05-D3_L_ABUNDANT-T04,学习,
business_102_d3_l_abundant_t05,F-EXP05-D3_L_ABUNDANT-T05,学习,
business_102_d3_l_abundant_t06,F-EXP05-D3_L_ABUNDANT-T06,学习,
business_102_d3_l_tight_t01,F-REM57V3-D3L-01,学习,
business_102_d3_l_tight_t02,F-REM57V3-D3L-02,学习,
business_102_d3_m_abundant_t01,F-D3-BUDGET2-1-冷链周转箱内衬,学习,
business_102_d3_m_abundant_t02,F-D3-BUDGET2-2-光伏检修工具箱,学习,
business_102_d3_m_tight_t01,F-REM57V3-D3M-01,学习,
business_102_d3_m_tight_t02,F-REM57V3-D3M-02,学习,
business_102_d3_s_abundant_t01,F-EMPTY3-D3-01,学习,
business_102_d3_s_abundant_t02,F-EMPTY3-D3-02,学习,
business_102_d3_s_abundant_t03,F-EXP07-D3-S-03,学习,
business_102_d3_s_abundant_t04,F-EXP07-D3-S-04,学习,
business_102_d3_s_abundant_t05,F-EXP07-D3-S-05,学习,
business_102_d3_s_abundant_t06,F-EXP07-D3-S-06,学习,
business_102_d3_s_abundant_t07,F-EXP08-D3-S-07,学习,
business_102_d3_s_abundant_t08,F-EXP08-D3-S-08,学习,
business_102_d3_s_abundant_t09,F-EXP08-D3-S-09,学习,
business_102_d3_s_abundant_t10,F-EXP08-D3-S-10,学习,
business_102_d3_s_abundant_t11,F-EXP08-D3-S-11,学习,
business_102_d3_s_abundant_t12,F-EXP08-D3-S-12,学习,
business_102_d3_s_tight_t01,F-REM57V3-D3S-01,学习,
business_102_d3_s_tight_t02,F-REM57V3-D3S-02,学习,
business_102_d4_l_abundant_t01,F-D4-BUDGET2-1-农机季节改装模块,学习,
business_102_d4_l_abundant_t02,F-D4-BUDGET2-2-校用实验台配套柜,学习,
business_102_d4_m_abundant_t01,F-REM57V3-D4M-01,学习,
business_102_d4_m_abundant_t02,F-REM57V3-D4M-02,学习,
business_102_d4_m_abundant_t03,F-EXP07-D4-M-03,学习,
business_102_d4_m_abundant_t04,F-EXP07-D4-M-04,学习,
business_102_d4_m_abundant_t05,F-EXP07-D4-M-05,学习,
business_102_d4_m_abundant_t06,F-EXP07-D4-M-06,学习,
business_102_d4_m_abundant_t07,F-EXP08-D4-M-07,学习,
business_102_d4_m_abundant_t08,F-EXP08-D4-M-08,学习,
business_102_d4_m_abundant_t09,F-EXP08-D4-M-09,学习,
business_102_d4_m_abundant_t10,F-EXP08-D4-M-10,学习,
business_102_d4_m_abundant_t11,F-EXP08-D4-M-11,学习,
business_102_d4_m_abundant_t12,F-EXP08-D4-M-12,学习,
business_102_d4_m_tight_t01,F-REM57V3-D4MT-01,学习,
business_102_d4_m_tight_t02,F-REM57V3-D4MT-02,学习,
business_102_d4_s_abundant_t01,F-EMPTY3-D4-01,学习,
business_102_d4_s_abundant_t02,F-EMPTY3-D4-02,学习,
business_102_d4_s_tight_t01,F-REM57V3-D4S-01,学习,
business_102_d4_s_tight_t02,F-REM57V3-D4S-02,学习,
business_102_e1_l_abundant_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-EMPTY3-E1-01
business_102_e1_l_abundant_t02,F-EMPTY3-E1-02,学习,
business_102_e1_l_tight_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-REM57V3-E1L-01
business_102_e1_l_tight_t02,F-REM57V3-E1L-02,学习,
business_102_e1_m_abundant_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-REM57V3-E1M-01
business_102_e1_m_abundant_t02,F-REM57V3-E1M-02,学习,
business_102_e1_m_abundant_t03,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-GAP13-14
business_102_e1_m_tight_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-REM57V3-E1M-03
business_102_e1_m_tight_t02,F-REM57V3-E1M-04,学习,
business_102_e1_s_abundant_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-REM57V3-E1S-01
business_102_e1_s_abundant_t02,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-REM57V3-E1S-02
business_102_e1_s_abundant_t03,F-EXP07-E1-S-03,学习,
business_102_e1_s_abundant_t04,F-EXP07-E1-S-04,学习,
business_102_e1_s_abundant_t05,F-EXP07-E1-S-05,学习,
business_102_e1_s_abundant_t06,F-EXP07-E1-S-06,学习,
business_102_e1_s_abundant_t07,F-EXP08-E1-S-07,学习,
business_102_e1_s_abundant_t08,F-EXP08-E1-S-08,学习,
business_102_e1_s_abundant_t09,F-EXP08-E1-S-09,学习,
business_102_e1_s_abundant_t10,F-EXP08-E1-S-10,学习,
business_102_e1_s_abundant_t11,F-EXP08-E1-S-11,学习,
business_102_e1_s_abundant_t12,F-EXP08-E1-S-12,学习,
business_102_e1_s_tight_t01,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-E1-BUDGET2-1-专用展架生产
business_102_e1_s_tight_t02,F-V3-E1-STRONG-NEAR-COPY-CLUSTER,学习,F-E1-BUDGET2-2-旧型号仪表面板
business_102_e2_l_abundant_t01,F-REM57V2-E2-07,学习,
business_102_e2_l_abundant_t02,F-REM57V2-E2-08,学习,
business_102_e2_l_tight_t01,F-REM57V2-E2-09,学习,
business_102_e2_l_tight_t02,F-REM57V2-E2-10,学习,
business_102_e2_m_abundant_t01,F-REM57V2-E2-05,学习,
business_102_e2_m_abundant_t02,F-REM57V2-E2-06,学习,
business_102_e2_m_abundant_t03,F-GAP13-15,学习,
business_102_e2_m_tight_t01,F-E2-BUDGET2-1-园艺机具附件,学习,
business_102_e2_m_tight_t02,F-E2-BUDGET2-2-冷藏车保温连接件,学习,
business_102_e2_s_abundant_t01,F-REM57V2-E2-01,学习,
business_102_e2_s_abundant_t02,F-REM57V2-E2-02,学习,
business_102_e2_s_abundant_t07,F-SHAPE-E2-S-07,开发测试,
business_102_e2_s_abundant_t08,F-SHAPE-E2-S-08,开发测试,
business_102_e2_s_abundant_t09,F-SHAPE-E2-S-09,开发测试,
business_102_e2_s_abundant_t10,F-SHAPE-E2-S-10,开发测试,
business_102_e2_s_abundant_t11,F-SHAPE-E2-S-11,开发测试,
business_102_e2_s_abundant_t12,F-SHAPE-E2-S-12,开发测试,
business_102_e2_s_t03,F-EXP06-E2-S-03,学习,
business_102_e2_s_t04,F-EXP06-E2-S-04,学习,
business_102_e2_s_t05,F-EXP06-E2-S-05,学习,
business_102_e2_s_t06,F-EXP06-E2-S-06,学习,
business_102_e2_s_tight_t01,F-REM57V2-E2-03,学习,
business_102_e2_s_tight_t02,F-REM57V2-E2-04,学习,
business_102_e3_l_abundant_t01,F-REM57V3-E3L-01,学习,
business_102_e3_l_abundant_t02,F-REM57V3-E3L-02,学习,
business_102_e3_l_tight_t01,F-REM57V3-E3L-03,学习,
business_102_e3_l_tight_t02,F-REM57V3-E3L-04,学习,
business_102_e3_m_abundant_t01,F-EMPTY3-E3-01,学习,
business_102_e3_m_abundant_t02,F-EMPTY3-E3-02,学习,
business_102_e3_m_abundant_t07,F-SHAPE-E3-M-07,开发测试,
business_102_e3_m_abundant_t08,F-SHAPE-E3-M-08,开发测试,
business_102_e3_m_abundant_t09,F-SHAPE-E3-M-09,开发测试,
business_102_e3_m_abundant_t10,F-SHAPE-E3-M-10,开发测试,
business_102_e3_m_abundant_t11,F-SHAPE-E3-M-11,开发测试,
business_102_e3_m_abundant_t12,F-SHAPE-E3-M-12,开发测试,
business_102_e3_m_t03,F-EXP06-E3-M-03,学习,
business_102_e3_m_t04,F-EXP06-E3-M-04,学习,
business_102_e3_m_t05,F-EXP06-E3-M-05,学习,
business_102_e3_m_t06,F-EXP06-E3-M-06,学习,
business_102_e3_m_tight_t01,F-REM57V3-E3M-01,学习,
business_102_e3_m_tight_t02,F-REM57V3-E3M-02,学习,
business_102_e3_s_abundant_t01,F-REM57V3-E3S-01,学习,
business_102_e3_s_abundant_t02,F-REM57V3-E3S-02,学习,
business_102_e3_s_tight_t01,F-E3-BUDGET2-1-旧机床替换手轮,学习,
business_102_e3_s_tight_t02,F-E3-BUDGET2-2-商用柜门铰链,学习,
business_102_e4_l_abundant_t01,F-REM57V3-E4L-01,学习,
business_102_e4_l_abundant_t02,F-REM57V3-E4L-02,学习,
business_102_e4_l_tight_t01,F-EMPTY5-E4-01,学习,
business_102_e4_l_tight_t02,F-EMPTY5-E4-02,学习,
business_102_e4_m_abundant_t01,F-REM57V3-E4M-01,学习,
business_102_e4_m_abundant_t02,F-REM57V3-E4M-02,学习,
business_102_e4_m_tight_t01,F-E4-BUDGET2-1-出口促销品金属架,学习,
business_102_e4_m_tight_t02,F-E4-BUDGET2-2-自动售货机货道,学习,
business_102_e4_s_abundant_t01,F-REM57V3-E4S-01,学习,
business_102_e4_s_abundant_t02,F-REM57V3-E4S-02,学习,
business_102_e4_s_tight_t02,F-REM57V3-E4S-04,学习,
contract_diversity_t05_0002,contract_diversity_t05_0002,开发测试,
matrix_t07_f02_c01_calendar01_revision01_revision01,shared_contract_factory,开发测试,
matrix_t07_f03_c01_calendar01_revision01_revision01,shared_contract_factory,开发测试,
matrix_t07_f04_c01_calendar01_revision01_revision01,shared_contract_factory,开发测试,
matrix_t08_f02_c01_calendar01_revision01_revision01,shared_contract_factory,开发测试,
