sample_id,图页,图中位置,日余额CSV
business_102_a2_s_abundant_t10,10,2,data/samples/source_535a721f615283b9/account_daily_total.csv
business_102_a2_s_tight_t01,10,3,data/samples/source_a4b4a7713f74a6ac/account_daily_total.csv
business_102_a2_s_tight_t02,10,4,data/samples/source_487e95911beed259/account_daily_total.csv
business_102_b1_l_abundant_t01,10,5,data/samples/source_7e2610b2da60e2db/account_daily_total.csv
business_102_b1_l_abundant_t02,10,6,data/samples/source_891acdef01b0bc14/account_daily_total.csv
business_102_b1_l_abundant_t03,10,7,data/samples/source_29c7e6637ebf1d8c/account_daily_total.csv
business_102_b1_l_abundant_t04,10,8,data/samples/source_031796c7709ddb50/account_daily_total.csv
business_102_b1_l_abundant_t05,11,1,data/samples/source_32f52d2538573d76/account_daily_total.csv
business_102_b1_l_abundant_t06,11,2,data/samples/source_3c52465e5d831ec5/account_daily_total.csv
business_102_b1_m_abundant_t01,11,3,data/samples/source_cad02f58de7e2513/account_daily_total.csv
business_102_b1_m_abundant_t02,11,4,data/samples/source_c8739f05e6823f9b/account_daily_total.csv
business_102_b1_m_tight_t01,11,5,data/samples/source_fc81443de34723b0/account_daily_total.csv
business_102_b1_m_tight_t02,11,6,data/samples/source_365016ca6b1354e1/account_daily_total.csv
business_102_b1_m_tight_t03,11,7,data/samples/source_1262e6fe4a7c7f1b/account_daily_total.csv
business_102_b1_m_tight_t04,11,8,data/samples/source_11b6f7b5cafcf594/account_daily_total.csv
business_102_b1_s_abundant_t01,12,1,data/samples/source_3ad69a63b2b591e7/account_daily_total.csv
business_102_b1_s_abundant_t02,12,2,data/samples/source_0b49643650039705/account_daily_total.csv
business_102_b1_s_abundant_t03,12,3,data/samples/source_0e88be3f35425317/account_daily_total.csv
business_102_b1_s_abundant_t07,12,4,data/samples/source_c08a3e10e0296746/account_daily_total.csv
business_102_b1_s_abundant_t08,12,5,data/samples/source_fd109d86176804bd/account_daily_total.csv
business_102_b1_s_abundant_t09,12,6,data/samples/source_4acebc8fe6ed1bb5/account_daily_total.csv
business_102_b1_s_abundant_t10,12,7,data/samples/source_9c7013ef27336c98/account_daily_total.csv
business_102_b1_s_abundant_t11,12,8,data/samples/source_f69c05ffc3707fb4/account_daily_total.csv
business_102_b1_s_abundant_t12,13,1,data/samples/source_28856fe5c5d32dc1/account_daily_total.csv
business_102_b1_s_tight_t01,13,2,data/samples/source_b8a75f2b89e48722/account_daily_total.csv
business_102_b1_s_tight_t02,13,3,data/samples/source_9287d689a6a04075/account_daily_total.csv
business_102_b2_l_abundant_t01,13,4,data/samples/source_609b08be68f229cc/account_daily_total.csv
business_102_b2_l_abundant_t02,13,5,data/samples/source_03d2a798b00e6694/account_daily_total.csv
business_102_b2_l_abundant_t03,13,6,data/samples/source_07aa25b821ece97c/account_daily_total.csv
business_102_b2_l_abundant_t04,13,7,data/samples/source_3aa2e03e427e325c/account_daily_total.csv
business_102_b2_l_abundant_t05,13,8,data/samples/source_8681e284b21d0c2f/account_daily_total.csv
business_102_b2_l_abundant_t06,14,1,data/samples/source_556e7b19294d29c7/account_daily_total.csv
business_102_b2_m_abundant_t01,14,2,data/samples/source_3858a777d6b887d9/account_daily_total.csv
business_102_b2_m_abundant_t02,14,3,data/samples/source_fd74df8607ab10e4/account_daily_total.csv
business_102_b2_m_abundant_t03,14,4,data/samples/source_4b3e598bd2a69520/account_daily_total.csv
business_102_b2_m_abundant_t04,14,5,data/samples/source_3d69c0f4519b0f21/account_daily_total.csv
business_102_b2_m_abundant_t05,14,6,data/samples/source_87a99aa8abb1ae61/account_daily_total.csv
business_102_b2_m_abundant_t06,14,7,data/samples/source_03291ba6fd7755ac/account_daily_total.csv
business_102_b2_s_abundant_t01,14,8,data/samples/source_204f7b63182c67e6/account_daily_total.csv
business_102_b2_s_abundant_t02,15,1,data/samples/source_739993ca44be0d9c/account_daily_total.csv
business_102_b2_s_abundant_t03,15,2,data/samples/source_6245032b7b47e508/account_daily_total.csv
business_102_b2_s_abundant_t04,15,3,data/samples/source_fefac64a6c769e04/account_daily_total.csv
business_102_b2_s_abundant_t05,15,4,data/samples/source_cd7d221451005c86/account_daily_total.csv
business_102_b2_s_abundant_t06,15,5,data/samples/source_471a9fa46e0b9bf2/account_daily_total.csv
business_102_b2_s_tight_t01,15,6,data/samples/source_d949f02aa9216936/account_daily_total.csv
business_102_b2_s_tight_t02,15,7,data/samples/source_4db499eec7c80e5d/account_daily_total.csv
business_102_b3_l_abundant_t01,15,8,data/samples/source_4c7fc32483283b4c/account_daily_total.csv
business_102_b3_l_abundant_t02,16,1,data/samples/source_b7ce967878f56379/account_daily_total.csv
business_102_b3_l_abundant_t03,16,2,data/samples/source_d23de59f98bba0ca/account_daily_total.csv
business_102_b3_l_abundant_t04,16,3,data/samples/source_cf2dae1f9165a279/account_daily_total.csv
business_102_b3_l_abundant_t05,16,4,data/samples/source_9a81e9c5cd087ddd/account_daily_total.csv
business_102_b3_l_abundant_t06,16,5,data/samples/source_9583e5c5c59700d6/account_daily_total.csv
business_102_b3_l_tight_t01,16,6,data/samples/source_b7e95a300a04a294/account_daily_total.csv
business_102_b3_l_tight_t02,16,7,data/samples/source_ecda9d3d38530ed4/account_daily_total.csv
business_102_b3_m_abundant_t01,16,8,data/samples/source_65f9d9fae6d4fed4/account_daily_total.csv
business_102_b3_m_abundant_t02,17,1,data/samples/source_0e2e26f017f2c84c/account_daily_total.csv
business_102_b3_m_abundant_t03,17,2,data/samples/source_3c9ac6b302f372cd/account_daily_total.csv
business_102_b3_m_abundant_t04,17,3,data/samples/source_4e0c4e2f9604f316/account_daily_total.csv
business_102_b3_m_abundant_t05,17,4,data/samples/source_9fbebba6c6637ed1/account_daily_total.csv
business_102_b3_m_abundant_t06,17,5,data/samples/source_700ae34b6153f94b/account_daily_total.csv
business_102_b3_m_tight_t03,17,6,data/samples/source_4a9238ce1aeded7b/account_daily_total.csv
business_102_b3_s_abundant_t01,17,7,data/samples/source_cf20494d3355aad2/account_daily_total.csv
business_102_b3_s_abundant_t02,17,8,data/samples/source_5b6ad55505af1f65/account_daily_total.csv
business_102_b3_s_abundant_t03,18,1,data/samples/source_a6751a4e8c90814b/account_daily_total.csv
business_102_b3_s_abundant_t04,18,2,data/samples/source_9efe3c8ab0a6ee4d/account_daily_total.csv
business_102_b3_s_abundant_t05,18,3,data/samples/source_1c605f8c4e8145c6/account_daily_total.csv
business_102_b3_s_abundant_t06,18,4,data/samples/source_83d8395b82160496/account_daily_total.csv
business_102_b3_s_tight_t01,18,5,data/samples/source_18d8d788598b4b94/account_daily_total.csv
business_102_b3_s_tight_t02,18,6,data/samples/source_1b532405e0f2ae0e/account_daily_total.csv
business_102_c1_l_abundant_t01,18,7,data/samples/source_d34694332694e71f/account_daily_total.csv
business_102_c1_l_abundant_t02,18,8,data/samples/source_9b60640b1aa081cd/account_daily_total.csv
business_102_c1_l_abundant_t03,19,1,data/samples/source_3fc2b1b02b7ffc8b/account_daily_total.csv
business_102_c1_l_abundant_t04,19,2,data/samples/source_989005c4da15a197/account_daily_total.csv
business_102_c1_l_abundant_t05,19,3,data/samples/source_413b4b160297f702/account_daily_total.csv
business_102_c1_l_abundant_t06,19,4,data/samples/source_6ddfcd271384cdcd/account_daily_total.csv
business_102_c1_l_tight_t01,19,5,data/samples/source_9ddb4b6e45e52f75/account_daily_total.csv
business_102_c1_l_tight_t02,19,6,data/samples/source_ac7f296df3924662/account_daily_total.csv
business_102_c1_m_abundant_t01,19,7,data/samples/source_12b694cecc76cc71/account_daily_total.csv
business_102_c1_m_abundant_t02,19,8,data/samples/source_c040de90d480867c/account_daily_total.csv
business_102_c1_m_abundant_t03,20,1,data/samples/source_c21edce6b5636fa7/account_daily_total.csv
business_102_c1_m_abundant_t04,20,2,data/samples/source_51fda448d53046b0/account_daily_total.csv
business_102_c1_m_abundant_t05,20,3,data/samples/source_c078e4cb26ddce4d/account_daily_total.csv
business_102_c1_m_abundant_t06,20,4,data/samples/source_58397be333e956f2/account_daily_total.csv
business_102_c1_s_abundant_t01,20,5,data/samples/source_5cdf293692ee5e18/account_daily_total.csv
business_102_c1_s_abundant_t02,20,6,data/samples/source_28d7f0d1d4636650/account_daily_total.csv
business_102_c1_s_abundant_t03,20,7,data/samples/source_4e56270800278877/account_daily_total.csv
business_102_c1_s_abundant_t04,20,8,data/samples/source_05a94a02a813535c/account_daily_total.csv
business_102_c1_s_abundant_t05,21,1,data/samples/source_467999f0aa41a699/account_daily_total.csv
business_102_c1_s_abundant_t06,21,2,data/samples/source_4cf2217d0144eb1a/account_daily_total.csv
business_102_c1_s_tight_t01,21,3,data/samples/source_7d5357a55c7d2c19/account_daily_total.csv
business_102_c1_s_tight_t02,21,4,data/samples/source_9bfda5992b46f3da/account_daily_total.csv
business_102_c2_l_abundant_t01,21,5,data/samples/source_a472f26746720f08/account_daily_total.csv
business_102_c2_l_abundant_t02,21,6,data/samples/source_6bd51b5b33b155fc/account_daily_total.csv
business_102_c2_l_abundant_t04,21,7,data/samples/source_3a6ee919d01f3d06/account_daily_total.csv
business_102_c2_l_abundant_t05,21,8,data/samples/source_5e6182ecae198538/account_daily_total.csv
business_102_c2_l_abundant_t06,22,1,data/samples/source_6a8865b30b47e92d/account_daily_total.csv
business_102_c2_l_tight_t01,22,2,data/samples/source_12d20722df87bcd8/account_daily_total.csv
business_102_c2_m_abundant_t01,22,3,data/samples/source_ad2bfe02ee81243a/account_daily_total.csv
business_102_c2_m_abundant_t02,22,4,data/samples/source_aaea3333cc7defd6/account_daily_total.csv
business_102_c2_m_abundant_t03,22,5,data/samples/source_196a3a8a849ccef6/account_daily_total.csv
business_102_c2_m_abundant_t04,22,6,data/samples/source_7d34a4cdfd4ee1cb/account_daily_total.csv
business_102_c2_m_abundant_t05,22,7,data/samples/source_7617940d475cb1a8/account_daily_total.csv
business_102_c2_m_abundant_t06,22,8,data/samples/source_597a6a80c4a447af/account_daily_total.csv
business_102_c2_m_tight_t03,23,1,data/samples/source_9692b49bf2294449/account_daily_total.csv
business_102_c2_s_abundant_t01,23,2,data/samples/source_924b0242a8480325/account_daily_total.csv
business_102_c2_s_abundant_t02,23,3,data/samples/source_b8f90a0ebbb439d8/account_daily_total.csv
business_102_c2_s_abundant_t03,23,4,data/samples/source_9d143c82932456b8/account_daily_total.csv
business_102_c2_s_abundant_t04,23,5,data/samples/source_4a987490df18e860/account_daily_total.csv
business_102_c2_s_abundant_t05,23,6,data/samples/source_819ca6de935fd8c7/account_daily_total.csv
business_102_c2_s_abundant_t06,23,7,data/samples/source_7a6fe82bacc5a8e5/account_daily_total.csv
business_102_c2_s_tight_t01,23,8,data/samples/source_9eba703971c5bcb9/account_daily_total.csv
business_102_c2_s_tight_t02,24,1,data/samples/source_93c483bf38ca67b5/account_daily_total.csv
business_102_c3_l_abundant_t01,24,2,data/samples/source_dfd173ebcb4eb44e/account_daily_total.csv
business_102_c3_l_abundant_t02,24,3,data/samples/source_07196a180596752b/account_daily_total.csv
business_102_c3_l_tight_t01,24,4,data/samples/source_f5398c41e6dc4db2/account_daily_total.csv
business_102_c3_l_tight_t02,24,5,data/samples/source_3eab975ba4429e37/account_daily_total.csv
business_102_c3_m_abundant_t01,24,6,data/samples/source_6404b1af398ff573/account_daily_total.csv
business_102_c3_m_abundant_t02,24,7,data/samples/source_9b019fd0c46b11e2/account_daily_total.csv
business_102_c3_m_tight_t01,24,8,data/samples/source_f681c04427efd739/account_daily_total.csv
business_102_c3_s_abundant_t01,25,1,data/samples/source_c9c3c48c4f3ceeff/account_daily_total.csv
business_102_c3_s_abundant_t02,25,2,data/samples/source_4cbaccdbfca09101/account_daily_total.csv
business_102_c3_s_tight_t01,25,3,data/samples/source_2de18034d30d05a6/account_daily_total.csv
business_102_c3_s_tight_t02,25,4,data/samples/source_a827f5e418d66fc3/account_daily_total.csv
business_102_c3_s_tight_t03,25,5,data/samples/source_1c2a66838f581ffe/account_daily_total.csv
business_102_c3_s_tight_t04,25,6,data/samples/source_becec2597d31fe1e/account_daily_total.csv
business_102_c4_l_abundant_t01,25,7,data/samples/source_9842bdf867cd4479/account_daily_total.csv
business_102_c4_l_abundant_t02,25,8,data/samples/source_811eb14ee7017eaa/account_daily_total.csv
business_102_c4_l_tight_t01,26,1,data/samples/source_62eb3aa2337f66ca/account_daily_total.csv
business_102_c4_l_tight_t02,26,2,data/samples/source_e008887a04e50928/account_daily_total.csv
business_102_c4_m_abundant_t01,26,3,data/samples/source_3948504e4f16bb9b/account_daily_total.csv
business_102_c4_m_abundant_t02,26,4,data/samples/source_42d3d7388cbd5853/account_daily_total.csv
business_102_c4_m_abundant_t03,26,5,data/samples/source_b8989389c1a418ae/account_daily_total.csv
business_102_c4_m_tight_t03,26,6,data/samples/source_f2aac08414d648eb/account_daily_total.csv
business_102_c4_m_tight_t04,26,7,data/samples/source_7f2d727a59f63d98/account_daily_total.csv
business_102_c4_s_abundant_t01,26,8,data/samples/source_6f0e3b11100a180c/account_daily_total.csv
business_102_c4_s_abundant_t02,27,1,data/samples/source_74e1941e094aa310/account_daily_total.csv
business_102_c4_s_tight_t01,27,2,data/samples/source_d09b845443c2368d/account_daily_total.csv
business_102_c4_s_tight_t02,27,3,data/samples/source_4fbe848bde37a74e/account_daily_total.csv
business_102_d1_l_abundant_t01,27,4,data/samples/source_a07ef069a646fea6/account_daily_total.csv
business_102_d1_l_abundant_t02,27,5,data/samples/source_26a3a18257535fb4/account_daily_total.csv
business_102_d1_m_abundant_t01,27,6,data/samples/source_5807889a409dc52a/account_daily_total.csv
business_102_d1_m_abundant_t02,27,7,data/samples/source_87113e9d44e8a356/account_daily_total.csv
business_102_d1_s_abundant_t01,27,8,data/samples/source_de7bec92fb599231/account_daily_total.csv
business_102_d1_s_abundant_t02,28,1,data/samples/source_80f6299c7ad8301f/account_daily_total.csv
business_102_d1_s_abundant_t07,28,2,data/samples/source_34303a8b48454f87/account_daily_total.csv
business_102_d1_s_abundant_t08,28,3,data/samples/source_afaf2aa9b25771dd/account_daily_total.csv
business_102_d1_s_abundant_t09,28,4,data/samples/source_42518ace7ddce9c9/account_daily_total.csv
business_102_d1_s_abundant_t10,28,5,data/samples/source_630ac3e9eb00b4c5/account_daily_total.csv
business_102_d1_s_abundant_t11,28,6,data/samples/source_93fc542d0b50533c/account_daily_total.csv
business_102_d1_s_abundant_t12,28,7,data/samples/source_7d4b9c03dec2d147/account_daily_total.csv
business_102_d1_s_t03,28,8,data/samples/source_01fb81adceb004b4/account_daily_total.csv
business_102_d1_s_t04,29,1,data/samples/source_14888f1939aaa810/account_daily_total.csv
business_102_d1_s_t05,29,2,data/samples/source_49d5d35363447c94/account_daily_total.csv
business_102_d1_s_t06,29,3,data/samples/source_f7812135bccb2393/account_daily_total.csv
business_102_d2_l_abundant_t01,29,4,data/samples/source_996f9a487686edcb/account_daily_total.csv
business_102_d2_l_abundant_t02,29,5,data/samples/source_c69fe3a11e1657fb/account_daily_total.csv
business_102_d2_l_abundant_t03,29,6,data/samples/source_7f7b3e462e796008/account_daily_total.csv
business_102_d2_l_abundant_t04,29,7,data/samples/source_ee6ff0f9313671c7/account_daily_total.csv
business_102_d2_l_abundant_t05,29,8,data/samples/source_15691d7edc943e8d/account_daily_total.csv
business_102_d2_l_abundant_t06,30,1,data/samples/source_d4c20f0ed17653f1/account_daily_total.csv
business_102_d2_l_abundant_t07,30,2,data/samples/source_949c21a56059a0fa/account_daily_total.csv
business_102_d2_l_abundant_t08,30,3,data/samples/source_331ef8b7322e631b/account_daily_total.csv
business_102_d2_l_abundant_t09,30,4,data/samples/source_c324d410dbc8a953/account_daily_total.csv
business_102_d2_l_abundant_t10,30,5,data/samples/source_cb402c60bb940a78/account_daily_total.csv
business_102_d2_l_abundant_t11,30,6,data/samples/source_126bb03c5f4b3100/account_daily_total.csv
business_102_d2_l_abundant_t12,30,7,data/samples/source_4c7199b1a1f5d832/account_daily_total.csv
business_102_d2_m_abundant_t01,30,8,data/samples/source_b0d2fa46f0053c58/account_daily_total.csv
business_102_d2_m_abundant_t02,31,1,data/samples/source_0b76a0ce98678f18/account_daily_total.csv
business_102_d2_m_abundant_t07,31,2,data/samples/source_471120fdb0327a7f/account_daily_total.csv
business_102_d2_m_abundant_t08,31,3,data/samples/source_593c477b115030ea/account_daily_total.csv
business_102_d2_m_abundant_t09,31,4,data/samples/source_a9a365143af9075f/account_daily_total.csv
business_102_d2_m_abundant_t10,31,5,data/samples/source_b252fe67ca8d5c88/account_daily_total.csv
business_102_d2_m_abundant_t11,31,6,data/samples/source_ede1b60bf0efdcdb/account_daily_total.csv
business_102_d2_m_abundant_t12,31,7,data/samples/source_30cdc3b163ed413d/account_daily_total.csv
business_102_d2_m_t03,31,8,data/samples/source_d9ab8b519337a0c7/account_daily_total.csv
business_102_d2_m_t04,32,1,data/samples/source_0afbc0ac479f3313/account_daily_total.csv
business_102_d2_m_t05,32,2,data/samples/source_e838098b9b379b4b/account_daily_total.csv
business_102_d2_m_t06,32,3,data/samples/source_8b9df3773cbd3460/account_daily_total.csv
business_102_d2_m_tight_t01,32,4,data/samples/source_63f7168e27c8f513/account_daily_total.csv
business_102_d2_m_tight_t03,32,5,data/samples/source_8c38fa2b220836e6/account_daily_total.csv
business_102_d2_s_abundant_t01,32,6,data/samples/source_ca726a841d73140d/account_daily_total.csv
business_102_d2_s_abundant_t02,32,7,data/samples/source_e4b6181e6a17ee59/account_daily_total.csv
business_102_d2_s_tight_t01,32,8,data/samples/source_26c71bf4744ec098/account_daily_total.csv
business_102_d3_l_abundant_t01,33,1,data/samples/source_dd87e38983f13023/account_daily_total.csv
business_102_d3_l_abundant_t02,33,2,data/samples/source_b366c4e7e31cb333/account_daily_total.csv
business_102_d3_l_abundant_t03,33,3,data/samples/source_9f0121ded9089c6a/account_daily_total.csv
business_102_d3_l_abundant_t04,33,4,data/samples/source_5724f3d135710f83/account_daily_total.csv
business_102_d3_l_abundant_t05,33,5,data/samples/source_2271e9ac460942f7/account_daily_total.csv
business_102_d3_l_abundant_t06,33,6,data/samples/source_ca46cafaaa629199/account_daily_total.csv
business_102_d3_l_tight_t01,33,7,data/samples/source_16671b800fe3f525/account_daily_total.csv
business_102_d3_l_tight_t02,33,8,data/samples/source_8870ab684b162504/account_daily_total.csv
business_102_d3_m_abundant_t01,34,1,data/samples/source_fa469c41f8cb91a7/account_daily_total.csv
business_102_d3_m_abundant_t02,34,2,data/samples/source_7036f8387cd36f7f/account_daily_total.csv
business_102_d3_m_tight_t01,34,3,data/samples/source_6336004cad870793/account_daily_total.csv
business_102_d3_m_tight_t02,34,4,data/samples/source_93ef240c0a9eb021/account_daily_total.csv
business_102_d3_s_abundant_t01,34,5,data/samples/source_2976b2d9297b1a33/account_daily_total.csv
business_102_d3_s_abundant_t02,34,6,data/samples/source_37657d2a1607321d/account_daily_total.csv
business_102_d3_s_abundant_t03,34,7,data/samples/source_122a1d81f954e782/account_daily_total.csv
business_102_d3_s_abundant_t04,34,8,data/samples/source_aae5d9247ccf72a7/account_daily_total.csv
business_102_d3_s_abundant_t05,35,1,data/samples/source_8cd88ab061c744e5/account_daily_total.csv
business_102_d3_s_abundant_t06,35,2,data/samples/source_88c39ea250a511c3/account_daily_total.csv
business_102_d3_s_abundant_t07,35,3,data/samples/source_47e51c01bd1485a2/account_daily_total.csv
business_102_d3_s_abundant_t08,35,4,data/samples/source_7cd4ac0a38c21b2d/account_daily_total.csv
business_102_d3_s_abundant_t09,35,5,data/samples/source_5891298948977e3a/account_daily_total.csv
business_102_d3_s_abundant_t10,35,6,data/samples/source_102c61d3c6d5ee8b/account_daily_total.csv
business_102_d3_s_abundant_t11,35,7,data/samples/source_ff9eabf2c37fb214/account_daily_total.csv
business_102_d3_s_abundant_t12,35,8,data/samples/source_b71ee9b49d8eec99/account_daily_total.csv
business_102_d3_s_tight_t01,36,1,data/samples/source_1b5a15f932849b3e/account_daily_total.csv
business_102_d3_s_tight_t02,36,2,data/samples/source_997379b01ed3fded/account_daily_total.csv
business_102_d4_l_abundant_t01,36,3,data/samples/source_0e359fba63058694/account_daily_total.csv
business_102_d4_l_abundant_t02,36,4,data/samples/source_4ca6172f6bbdedf9/account_daily_total.csv
business_102_d4_m_abundant_t01,36,5,data/samples/source_93c57f08ef35c84c/account_daily_total.csv
business_102_d4_m_abundant_t02,36,6,data/samples/source_53a37b78d6dc4a6b/account_daily_total.csv
business_102_d4_m_abundant_t03,36,7,data/samples/source_46fc3d77be00e52a/account_daily_total.csv
business_102_d4_m_abundant_t04,36,8,data/samples/source_1ba1cf64b9598506/account_daily_total.csv
business_102_d4_m_abundant_t05,37,1,data/samples/source_fa4c29aa697b10b2/account_daily_total.csv
