sample_id,measured_shape_v3,atlas_page,atlas_position,daily_csv
business_102_d4_m_abundant_t03,长期U型/后段反弹,,,
business_102_d4_m_abundant_t05,长期U型/后段反弹,,,
business_102_d4_m_tight_t02,长期U型/后段反弹,,,
business_102_e2_l_tight_t02,长期U型/后段反弹,,,
business_102_e2_m_abundant_t03,长期U型/后段反弹,,,
business_102_e2_s_tight_t02,长期U型/后段反弹,,,
business_102_e4_m_abundant_t02,长期U型/后段反弹,,,
business_102_e4_s_abundant_t02,长期U型/后段反弹,,,
matrix_t07_f02_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t07_f03_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t07_f04_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t09_f02_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t09_f03_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t15_f02_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t15_f03_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
matrix_t15_f04_c01_calendar01_revision01_revision01,长期U型/后段反弹,,,
s5_t01_004,长期U型/后段反弹,,,
s5_t01_008,长期U型/后段反弹,,,
s5_t01_010,长期U型/后段反弹,,,
s5_t02_003,长期U型/后段反弹,,,
s5_t02_007,长期U型/后段反弹,,,
s5_t02_009,长期U型/后段反弹,,,
s5_t04_006,长期U型/后段反弹,,,
s5_t11_004,长期U型/后段反弹,,,
s5_t11_005,长期U型/后段反弹,,,
s5_t12_001,长期U型/后段反弹,,,
s5_t12_003,长期U型/后段反弹,,,
s5_t14_001,长期U型/后段反弹,,,
s5_t17_001,长期U型/后段反弹,,,
s5_t18_002,长期U型/后段反弹,,,
s5_t21_002,长期U型/后段反弹,,,
syn_b1_p0_002,长期U型/后段反弹,,,
syn_b1_p0_010,长期U型/后段反弹,,,
syn_b1_p0_042,长期U型/后段反弹,,,
syn_b1_p0_122,长期U型/后段反弹,,,
syn_b1_p0_126,长期U型/后段反弹,,,
syn_b1_p0_151,长期U型/后段反弹,,,
syn_b1_p0_153,长期U型/后段反弹,,,
syn_b1_p0_154,长期U型/后段反弹,,,
syn_b1_p0_159,长期U型/后段反弹,,,
syn_b1_p0_192,长期U型/后段反弹,,,
syn_b1_p0_195,长期U型/后段反弹,,,
syn_b1_p0_240,长期U型/后段反弹,,,
syn_b1_p0_246,长期U型/后段反弹,,,
syn_b1_p0_249,长期U型/后段反弹,,,
v2_t07_contract_r00,长期U型/后段反弹,,,
v2_t16_contract_r03,长期U型/后段反弹,,,
v2_t17_contract_r04,长期U型/后段反弹,,,
v2_t21_contract_r02,长期U型/后段反弹,,,
v2_t23_contract_r02,长期U型/后段反弹,,,
business_102_a1_l_abundant_t01,长期上升,,,
business_102_a1_l_abundant_t02,长期上升,,,
business_102_a1_l_abundant_t03,长期上升,,,
business_102_a1_l_abundant_t04,长期上升,,,
business_102_a1_l_abundant_t05,长期上升,,,
business_102_a1_l_abundant_t06,长期上升,,,
business_102_a1_l_abundant_t07,长期上升,,,
business_102_a1_l_abundant_t12,长期上升,,,
business_102_a1_l_tight_t01,长期上升,,,
business_102_a1_m_abundant_t03,长期上升,,,
business_102_a1_m_abundant_t04,长期上升,,,
business_102_a1_m_abundant_t05,长期上升,,,
business_102_a1_m_abundant_t06,长期上升,,,
business_102_a1_m_abundant_t07,长期上升,,,
business_102_a1_m_abundant_t08,长期上升,,,
business_102_a1_m_abundant_t10,长期上升,,,
business_102_a1_m_abundant_t11,长期上升,,,
business_102_a1_m_abundant_t12,长期上升,,,
business_102_a1_s_abundant_t01,长期上升,,,
business_102_a1_s_abundant_t02,长期上升,,,
business_102_a1_s_abundant_t03,长期上升,,,
business_102_a1_s_abundant_t04,长期上升,,,
business_102_a1_s_abundant_t05,长期上升,,,
business_102_a1_s_abundant_t06,长期上升,,,
business_102_a1_s_abundant_t11,长期上升,,,
business_102_a1_s_abundant_t12,长期上升,,,
business_102_a2_l_abundant_t01,长期上升,,,
business_102_a2_l_abundant_t02,长期上升,,,
business_102_a2_l_abundant_t04,长期上升,,,
business_102_a2_l_abundant_t05,长期上升,,,
business_102_a2_l_abundant_t06,长期上升,,,
business_102_a2_m_abundant_t03,长期上升,,,
business_102_a2_m_abundant_t04,长期上升,,,
business_102_a2_m_abundant_t05,长期上升,,,
business_102_a2_m_abundant_t06,长期上升,,,
business_102_a2_m_abundant_t07,长期上升,,,
business_102_a2_m_abundant_t09,长期上升,,,
business_102_a2_m_abundant_t10,长期上升,,,
business_102_a2_m_tight_T04,长期上升,,,
business_102_a2_m_tight_t03,长期上升,,,
business_102_a2_s_abundant_t01,长期上升,,,
business_102_a2_s_abundant_t02,长期上升,,,
business_102_a2_s_abundant_t03,长期上升,,,
business_102_a2_s_abundant_t04,长期上升,,,
business_102_a2_s_abundant_t05,长期上升,,,
business_102_a2_s_abundant_t06,长期上升,,,
business_102_b1_l_abundant_t01,长期上升,,,
business_102_b1_l_abundant_t02,长期上升,,,
business_102_b1_l_abundant_t03,长期上升,,,
business_102_b1_l_abundant_t04,长期上升,,,
business_102_b1_l_abundant_t05,长期上升,,,
business_102_b1_l_abundant_t06,长期上升,,,
business_102_b1_s_abundant_t07,长期上升,,,
business_102_b1_s_abundant_t08,长期上升,,,
business_102_b1_s_abundant_t09,长期上升,,,
business_102_b1_s_abundant_t10,长期上升,,,
business_102_b1_s_abundant_t11,长期上升,,,
business_102_b2_l_abundant_t01,长期上升,,,
business_102_b2_l_abundant_t02,长期上升,,,
business_102_b2_l_abundant_t03,长期上升,,,
business_102_b2_l_abundant_t04,长期上升,,,
business_102_b2_l_abundant_t05,长期上升,,,
business_102_b2_l_abundant_t06,长期上升,,,
business_102_b2_m_abundant_t01,长期上升,,,
business_102_b2_m_abundant_t02,长期上升,,,
business_102_b2_m_abundant_t03,长期上升,,,
business_102_b2_m_abundant_t04,长期上升,,,
business_102_b2_m_abundant_t05,长期上升,,,
business_102_b2_m_abundant_t06,长期上升,,,
business_102_b2_s_abundant_t01,长期上升,,,
business_102_b2_s_abundant_t03,长期上升,,,
business_102_b3_l_abundant_t03,长期上升,,,
business_102_b3_l_abundant_t04,长期上升,,,
business_102_b3_l_abundant_t05,长期上升,,,
business_102_b3_l_abundant_t06,长期上升,,,
business_102_b3_m_abundant_t03,长期上升,,,
business_102_b3_m_abundant_t04,长期上升,,,
business_102_b3_m_abundant_t05,长期上升,,,
business_102_b3_m_abundant_t06,长期上升,,,
business_102_b3_s_abundant_t03,长期上升,,,
business_102_b3_s_abundant_t04,长期上升,,,
business_102_b3_s_abundant_t05,长期上升,,,
business_102_b3_s_abundant_t06,长期上升,,,
business_102_c1_l_abundant_t03,长期上升,,,
business_102_c1_l_abundant_t04,长期上升,,,
business_102_c1_l_abundant_t05,长期上升,,,
business_102_c1_l_abundant_t06,长期上升,,,
business_102_c1_l_tight_t01,长期上升,,,
business_102_c1_m_abundant_t03,长期上升,,,
business_102_c1_m_abundant_t06,长期上升,,,
business_102_c1_s_abundant_t01,长期上升,,,
business_102_c1_s_abundant_t02,长期上升,,,
business_102_c1_s_abundant_t03,长期上升,,,
business_102_c1_s_abundant_t06,长期上升,,,
business_102_c2_l_abundant_t01,长期上升,,,
business_102_c2_l_abundant_t02,长期上升,,,
business_102_c2_l_abundant_t04,长期上升,,,
business_102_c2_l_abundant_t05,长期上升,,,
business_102_c2_l_abundant_t06,长期上升,,,
business_102_c2_m_abundant_t03,长期上升,,,
business_102_c2_m_abundant_t04,长期上升,,,
business_102_c2_m_abundant_t05,长期上升,,,
business_102_c2_m_abundant_t06,长期上升,,,
business_102_c2_s_abundant_t03,长期上升,,,
business_102_c2_s_abundant_t04,长期上升,,,
business_102_c2_s_abundant_t05,长期上升,,,
business_102_c2_s_abundant_t06,长期上升,,,
business_102_c3_l_abundant_t01,长期上升,,,
business_102_c3_l_abundant_t02,长期上升,,,
business_102_c3_m_abundant_t01,长期上升,,,
business_102_c3_m_abundant_t02,长期上升,,,
business_102_c3_m_tight_t01,长期上升,,,
business_102_c3_s_tight_t01,长期上升,,,
business_102_c3_s_tight_t02,长期上升,,,
business_102_c4_l_abundant_t02,长期上升,,,
business_102_c4_m_abundant_t01,长期上升,,,
business_102_c4_m_abundant_t02,长期上升,,,
business_102_c4_s_abundant_t01,长期上升,,,
business_102_c4_s_abundant_t02,长期上升,,,
business_102_c4_s_tight_t01,长期上升,,,
business_102_d1_l_abundant_t01,长期上升,,,
business_102_d1_l_abundant_t02,长期上升,,,
business_102_d1_m_abundant_t01,长期上升,,,
business_102_d1_s_abundant_t01,长期上升,,,
business_102_d1_s_abundant_t02,长期上升,,,
business_102_d2_l_abundant_t02,长期上升,,,
business_102_d2_l_abundant_t03,长期上升,,,
business_102_d2_l_abundant_t04,长期上升,,,
business_102_d2_l_abundant_t05,长期上升,,,
business_102_d2_l_abundant_t06,长期上升,,,
business_102_d2_l_abundant_t09,长期上升,,,
business_102_d2_m_abundant_t01,长期上升,,,
business_102_d2_m_abundant_t02,长期上升,,,
business_102_d2_m_abundant_t09,长期上升,,,
business_102_d2_m_abundant_t10,长期上升,,,
business_102_d2_m_abundant_t12,长期上升,,,
business_102_d2_m_tight_t01,长期上升,,,
business_102_d2_m_tight_t03,长期上升,,,
business_102_d2_s_abundant_t01,长期上升,,,
business_102_d2_s_abundant_t02,长期上升,,,
business_102_d3_l_abundant_t02,长期上升,,,
business_102_d3_l_abundant_t03,长期上升,,,
business_102_d3_l_abundant_t04,长期上升,,,
business_102_d3_l_abundant_t05,长期上升,,,
business_102_d3_l_abundant_t06,长期上升,,,
business_102_d3_m_abundant_t01,长期上升,,,
business_102_d3_m_tight_t02,长期上升,,,
business_102_d3_s_abundant_t01,长期上升,,,
business_102_d3_s_abundant_t02,长期上升,,,
business_102_d3_s_abundant_t03,长期上升,,,
business_102_d3_s_abundant_t04,长期上升,,,
business_102_d3_s_abundant_t05,长期上升,,,
business_102_d3_s_abundant_t06,长期上升,,,
business_102_d3_s_abundant_t08,长期上升,,,
business_102_d3_s_abundant_t09,长期上升,,,
business_102_d3_s_tight_t01,长期上升,,,
business_102_d4_l_abundant_t01,长期上升,,,
business_102_d4_l_abundant_t02,长期上升,,,
business_102_d4_m_abundant_t04,长期上升,,,
business_102_d4_m_abundant_t06,长期上升,,,
business_102_d4_m_abundant_t09,长期上升,,,
business_102_d4_m_tight_t01,长期上升,,,
business_102_d4_s_tight_t01,长期上升,,,
business_102_d4_s_tight_t02,长期上升,,,
business_102_e1_s_abundant_t03,长期上升,,,
business_102_e1_s_abundant_t04,长期上升,,,
business_102_e1_s_abundant_t05,长期上升,,,
business_102_e1_s_abundant_t06,长期上升,,,
business_102_e2_l_abundant_t01,长期上升,,,
business_102_e2_l_abundant_t02,长期上升,,,
business_102_e2_l_tight_t01,长期上升,,,
business_102_e2_m_abundant_t01,长期上升,,,
business_102_e2_m_abundant_t02,长期上升,,,
business_102_e2_m_tight_t01,长期上升,,,
business_102_e2_m_tight_t02,长期上升,,,
business_102_e2_s_abundant_t01,长期上升,,,
business_102_e2_s_abundant_t02,长期上升,,,
business_102_e2_s_t03,长期上升,,,
business_102_e2_s_t04,长期上升,,,
business_102_e2_s_t05,长期上升,,,
business_102_e2_s_t06,长期上升,,,
business_102_e2_s_tight_t01,长期上升,,,
business_102_e3_m_abundant_t09,长期上升,,,
business_102_e3_m_abundant_t10,长期上升,,,
business_102_e3_m_t03,长期上升,,,
business_102_e3_m_t04,长期上升,,,
business_102_e3_m_t05,长期上升,,,
business_102_e3_m_t06,长期上升,,,
business_102_e3_s_abundant_t02,长期上升,,,
business_102_e3_s_tight_t01,长期上升,,,
business_102_e3_s_tight_t02,长期上升,,,
business_102_e4_l_abundant_t01,长期上升,,,
business_102_e4_l_abundant_t02,长期上升,,,
business_102_e4_m_abundant_t01,长期上升,,,
business_102_e4_s_abundant_t01,长期上升,,,
s5_t01_001,长期上升,,,
s5_t01_002,长期上升,,,
s5_t01_003,长期上升,,,
s5_t01_006,长期上升,,,
s5_t01_012,长期上升,,,
s5_t02_001,长期上升,,,
s5_t02_002,长期上升,,,
s5_t02_004,长期上升,,,
s5_t02_005,长期上升,,,
s5_t02_006,长期上升,,,
s5_t02_008,长期上升,,,
s5_t02_010,长期上升,,,
s5_t13_004,长期上升,,,
s5_t14_003,长期上升,,,
s5_t16_001,长期上升,,,
s5_t16_002,长期上升,,,
s5_t19_001,长期上升,,,
s5_t24_001,长期上升,,,
s5v2_t11_long_peak_001,长期上升,,,
syn_b1_p0_001,长期上升,,,
syn_b1_p0_004,长期上升,,,
syn_b1_p0_006,长期上升,,,
syn_b1_p0_007,长期上升,,,
syn_b1_p0_011,长期上升,,,
syn_b1_p0_012,长期上升,,,
syn_b1_p0_013,长期上升,,,
syn_b1_p0_014,长期上升,,,
syn_b1_p0_016,长期上升,,,
syn_b1_p0_018,长期上升,,,
syn_b1_p0_019,长期上升,,,
syn_b1_p0_021,长期上升,,,
syn_b1_p0_023,长期上升,,,
syn_b1_p0_024,长期上升,,,
syn_b1_p0_025,长期上升,,,
syn_b1_p0_026,长期上升,,,
syn_b1_p0_027,长期上升,,,
syn_b1_p0_028,长期上升,,,
syn_b1_p0_029,长期上升,,,
syn_b1_p0_031,长期上升,,,
syn_b1_p0_034,长期上升,,,
syn_b1_p0_035,长期上升,,,
syn_b1_p0_036,长期上升,,,
syn_b1_p0_037,长期上升,,,
syn_b1_p0_038,长期上升,,,
syn_b1_p0_040,长期上升,,,
syn_b1_p0_045,长期上升,,,
syn_b1_p0_046,长期上升,,,
syn_b1_p0_049,长期上升,,,
syn_b1_p0_050,长期上升,,,
syn_b1_p0_051,长期上升,,,
syn_b1_p0_052,长期上升,,,
syn_b1_p0_053,长期上升,,,
syn_b1_p0_054,长期上升,,,
syn_b1_p0_056,长期上升,,,
syn_b1_p0_057,长期上升,,,
syn_b1_p0_058,长期上升,,,
syn_b1_p0_059,长期上升,,,
syn_b1_p0_061,长期上升,,,
syn_b1_p0_062,长期上升,,,
syn_b1_p0_063,长期上升,,,
syn_b1_p0_064,长期上升,,,
syn_b1_p0_066,长期上升,,,
syn_b1_p0_067,长期上升,,,
syn_b1_p0_068,长期上升,,,
syn_b1_p0_073,长期上升,,,
syn_b1_p0_077,长期上升,,,
syn_b1_p0_078,长期上升,,,
syn_b1_p0_079,长期上升,,,
syn_b1_p0_080,长期上升,,,
syn_b1_p0_083,长期上升,,,
syn_b1_p0_085,长期上升,,,
syn_b1_p0_087,长期上升,,,
syn_b1_p0_088,长期上升,,,
syn_b1_p0_089,长期上升,,,
syn_b1_p0_091,长期上升,,,
syn_b1_p0_092,长期上升,,,
syn_b1_p0_094,长期上升,,,
syn_b1_p0_096,长期上升,,,
syn_b1_p0_097,长期上升,,,
syn_b1_p0_098,长期上升,,,
syn_b1_p0_099,长期上升,,,
syn_b1_p0_100,长期上升,,,
syn_b1_p0_103,长期上升,,,
syn_b1_p0_104,长期上升,,,
syn_b1_p0_105,长期上升,,,
syn_b1_p0_106,长期上升,,,
syn_b1_p0_107,长期上升,,,
syn_b1_p0_109,长期上升,,,
syn_b1_p0_111,长期上升,,,
syn_b1_p0_113,长期上升,,,
syn_b1_p0_116,长期上升,,,
syn_b1_p0_117,长期上升,,,
syn_b1_p0_118,长期上升,,,
syn_b1_p0_119,长期上升,,,
syn_b1_p0_121,长期上升,,,
syn_b1_p0_124,长期上升,,,
syn_b1_p0_125,长期上升,,,
syn_b1_p0_127,长期上升,,,
syn_b1_p0_129,长期上升,,,
syn_b1_p0_130,长期上升,,,
syn_b1_p0_131,长期上升,,,
syn_b1_p0_132,长期上升,,,
syn_b1_p0_133,长期上升,,,
syn_b1_p0_134,长期上升,,,
syn_b1_p0_135,长期上升,,,
syn_b1_p0_139,长期上升,,,
syn_b1_p0_140,长期上升,,,
syn_b1_p0_141,长期上升,,,
syn_b1_p0_143,长期上升,,,
syn_b1_p0_148,长期上升,,,
syn_b1_p0_149,长期上升,,,
syn_b1_p0_152,长期上升,,,
syn_b1_p0_155,长期上升,,,
syn_b1_p0_157,长期上升,,,
syn_b1_p0_158,长期上升,,,
syn_b1_p0_160,长期上升,,,
syn_b1_p0_163,长期上升,,,
syn_b1_p0_164,长期上升,,,
syn_b1_p0_166,长期上升,,,
syn_b1_p0_167,长期上升,,,
syn_b1_p0_168,长期上升,,,
syn_b1_p0_169,长期上升,,,
syn_b1_p0_171,长期上升,,,
syn_b1_p0_174,长期上升,,,
syn_b1_p0_175,长期上升,,,
syn_b1_p0_176,长期上升,,,
syn_b1_p0_177,长期上升,,,
syn_b1_p0_179,长期上升,,,
syn_b1_p0_181,长期上升,,,
syn_b1_p0_182,长期上升,,,
syn_b1_p0_183,长期上升,,,
syn_b1_p0_184,长期上升,,,
syn_b1_p0_185,长期上升,,,
syn_b1_p0_187,长期上升,,,
syn_b1_p0_188,长期上升,,,
syn_b1_p0_190,长期上升,,,
syn_b1_p0_193,长期上升,,,
syn_b1_p0_194,长期上升,,,
syn_b1_p0_196,长期上升,,,
syn_b1_p0_197,长期上升,,,
syn_b1_p0_199,长期上升,,,
syn_b1_p0_200,长期上升,,,
syn_b1_p0_202,长期上升,,,
syn_b1_p0_203,长期上升,,,
syn_b1_p0_219,长期上升,,,
syn_b1_p0_243,长期上升,,,
v2_t01_contract_r00,长期上升,,,
v2_t02_contract_r00,长期上升,,,
v2_t09_contract_r01,长期上升,,,
v2_t20_contract_r03,长期上升,,,
business_102_a2_s_abundant_t07,长期下降,,,
business_102_a2_s_abundant_t08,长期下降,,,
business_102_a2_s_abundant_t10,长期下降,,,
business_102_b1_s_abundant_t02,长期下降,,,
business_102_b3_l_abundant_t01,长期下降,,,
business_102_b3_l_abundant_t02,长期下降,,,
business_102_b3_l_tight_t01,长期下降,,,
business_102_b3_s_abundant_t01,长期下降,,,
business_102_b3_s_abundant_t02,长期下降,,,
business_102_c1_l_abundant_t01,长期下降,,,
business_102_c1_l_abundant_t02,长期下降,,,
business_102_c1_m_abundant_t01,长期下降,,,
business_102_c1_m_abundant_t02,长期下降,,,
business_102_c1_s_tight_t01,长期下降,,,
business_102_c1_s_tight_t02,长期下降,,,
business_102_c2_l_tight_t01,长期下降,,,
business_102_c2_m_abundant_t01,长期下降,,,
business_102_c2_m_tight_t03,长期下降,,,
business_102_c2_s_abundant_t01,长期下降,,,
business_102_c2_s_abundant_t02,长期下降,,,
business_102_d2_s_tight_t01,长期下降,,,
business_102_e1_l_abundant_t01,长期下降,,,
business_102_e1_l_abundant_t02,长期下降,,,
business_102_e1_l_tight_t01,长期下降,,,
business_102_e1_l_tight_t02,长期下降,,,
business_102_e1_m_tight_t01,长期下降,,,
business_102_e1_m_tight_t02,长期下降,,,
business_102_e1_s_abundant_t07,长期下降,,,
business_102_e1_s_abundant_t08,长期下降,,,
business_102_e1_s_abundant_t09,长期下降,,,
business_102_e1_s_abundant_t10,长期下降,,,
business_102_e1_s_abundant_t11,长期下降,,,
business_102_e1_s_abundant_t12,长期下降,,,
business_102_e2_s_abundant_t07,长期下降,,,
business_102_e2_s_abundant_t08,长期下降,,,
business_102_e2_s_abundant_t10,长期下降,,,
business_102_e2_s_abundant_t12,长期下降,,,
business_102_e3_l_tight_t01,长期下降,,,
business_102_e3_l_tight_t02,长期下降,,,
business_102_e3_m_abundant_t01,长期下降,,,
business_102_e3_m_abundant_t02,长期下降,,,
business_102_e3_m_tight_t01,长期下降,,,
business_102_e3_m_tight_t02,长期下降,,,
business_102_e4_l_tight_t01,长期下降,,,
business_102_e4_l_tight_t02,长期下降,,,
business_102_e4_m_tight_t02,长期下降,,,
contract_diversity_t05_0002,长期下降,,,
matrix_t08_f02_c01_calendar01_revision01_revision01,长期下降,,,
matrix_t08_f03_c02_calendar01_revision01,长期下降,,,
matrix_t13_f03_c01_calendar01_revision01_revision01,长期下降,,,
matrix_t18_f02_c01_calendar01_revision01_revision01,长期下降,,,
matrix_t18_f03_c01_calendar01_revision01,长期下降,,,
s5v2_t05_long_down_001,长期下降,,,
s5v2_t07_long_u_001,长期下降,,,
syn_b1_p0_003,长期下降,,,
syn_b1_p0_005,长期下降,,,
syn_b1_p0_008,长期下降,,,
syn_b1_p0_009,长期下降,,,
syn_b1_p0_015,长期下降,,,
syn_b1_p0_017,长期下降,,,
syn_b1_p0_020,长期下降,,,
syn_b1_p0_022,长期下降,,,
syn_b1_p0_030,长期下降,,,
syn_b1_p0_032,长期下降,,,
syn_b1_p0_033,长期下降,,,
syn_b1_p0_041,长期下降,,,
syn_b1_p0_043,长期下降,,,
syn_b1_p0_047,长期下降,,,
syn_b1_p0_048,长期下降,,,
syn_b1_p0_055,长期下降,,,
syn_b1_p0_060,长期下降,,,
syn_b1_p0_070,长期下降,,,
syn_b1_p0_071,长期下降,,,
syn_b1_p0_072,长期下降,,,
syn_b1_p0_075,长期下降,,,
syn_b1_p0_076,长期下降,,,
syn_b1_p0_081,长期下降,,,
syn_b1_p0_082,长期下降,,,
syn_b1_p0_086,长期下降,,,
syn_b1_p0_090,长期下降,,,
syn_b1_p0_095,长期下降,,,
syn_b1_p0_101,长期下降,,,
syn_b1_p0_102,长期下降,,,
syn_b1_p0_112,长期下降,,,
syn_b1_p0_114,长期下降,,,
syn_b1_p0_115,长期下降,,,
